State,Rice,Wheat,Coarse Cereals,Pulses
Andhra Pradesh,6862.4,1,2433.6,1132.7
Arunachal Pradesh,263,4.4,91.6,10.6
Assam,5128.5,44.2,23.5,84.4
Bihar,7529.3,5357.2,2510.3,542.8
Chhattisgarh,6608.8,141.3,244.7,648.7
Goa,122.8,2944,,9
Gujarat,1541,11117,1999,572.2
Haryana,3976,608.6,1003,130.4
Himachal Pradesh,125.3,462.4,700.8,46.1
Jammu and Kashmir,818.1,319.5,537.3,14.2
Jharkhand,3164.9,179,463.8,609.3
Karnataka,3364,13133.4,6061,1259.3
Kerala,508.3,1181,0.3,3.2
Madhya Pradesh,2775,6,2616.2,5165.9
Maharashtra,3057,0.7,4429.3,2306
Manipur,257.6,5.9,44.7,28.3
Meghalaya,232,2,28.7,3.7
Mizoram,30.5,16591,8,3.3
Nagaland,405.2,9275.5,145.9,43.6
Odisha,7295.5,0.6,287,424.4
Punjab,11374,9,525,53
Rajasthan,222.5,1.3,6912.9,1956.8
Sikkim,21.3,30301.9,78.3,5.8
Tamil Nadu,4049.9,858.2,1333,209.9
Telangana,4647.6,895.9,3085.9,490.3
Tripura,713.2,747,4.7,6
Uttar Pradesh,14416,12167.9,3695.5,2332
Uttarakhand,579.8,603.7,338.4,51.3
West Bengal,15023.7,14677.2,434.6,192.3
